OrderID,Region,Segment,ShipMode,Category,SubCategory,Sales,Quantity,Discount,Profit,OrderYear,State
ORD-10001,West,Home Office,First Class,Technology,Machines,1902.41,8,0.0,320.71,2021,New York
ORD-10002,South,Corporate,Second Class,Furniture,Furnishings,302.88,3,0.1,-22.6,2020,Florida
ORD-10003,East,Home Office,First Class,Furniture,Chairs,622.4,6,0.0,58.74,2025,Texas
ORD-10004,South,Consumer,First Class,Technology,Accessories,199.4,3,0.3,26.2,2023,New York
ORD-10005,West,Corporate,Second Class,Technology,Phones,911.99,2,0.3,295.48,2019,Texas
ORD-10006,Central,Home Office,Second Class,Furniture,Tables,1374.78,7,0.3,168.86,2019,Florida
ORD-10007,West,Consumer,First Class,Office Supplies,Art,1515.62,6,0.1,221.31,2020,Texas
ORD-10008,East,Corporate,Same Day,Office Supplies,Paper,1791.76,8,0.1,-21.16,2023,Illinois
ORD-10009,East,Consumer,Standard Class,Office Supplies,Storage,1660.9,9,0.3,287.61,2025,Illinois
ORD-10010,South,Home Office,First Class,Furniture,Chairs,1974.04,8,0.0,-20.88,2021,California
ORD-10011,East,Home Office,Standard Class,Technology,Copiers,1547.12,5,0.1,94.85,2022,Texas
ORD-10012,South,Corporate,First Class,Furniture,Furnishings,754.22,8,0.0,172.21,2021,California
ORD-10013,Central,Home Office,Second Class,Technology,Phones,1943.99,3,0.0,436.97,2025,New York
ORD-10014,East,Consumer,Same Day,Furniture,Bookcases,866.53,3,0.2,262.64,2022,Washington
ORD-10015,Central,Home Office,Second Class,Furniture,Bookcases,1216.75,4,0.0,-79.53,2022,Texas
ORD-10016,South,Corporate,Second Class,Office Supplies,Binders,605.35,5,0.1,63.83,2021,Texas
ORD-10017,West,Consumer,Same Day,Technology,Machines,725.47,1,0.0,1.87,2023,California
ORD-10018,Central,Corporate,Same Day,Technology,Copiers,346.02,9,0.1,-0.02,2025,New York
ORD-10019,East,Corporate,Same Day,Office Supplies,Art,1047.21,9,0.3,66.64,2022,Washington
ORD-10020,Central,Consumer,Second Class,Technology,Accessories,1430.3,5,0.0,499.15,2020,Florida
ORD-10021,West,Consumer,Same Day,Office Supplies,Storage,571.72,1,0.0,4.46,2020,Washington
ORD-10022,West,Consumer,Same Day,Technology,Machines,180.09,8,0.2,1.62,2020,Washington
ORD-10023,West,Consumer,First Class,Office Supplies,Storage,1636.54,1,0.0,72.58,2022,Florida
ORD-10024,South,Home Office,Same Day,Technology,Machines,52.84,3,0.2,0.1,2019,California
ORD-10025,Central,Corporate,Second Class,Technology,Accessories,1678.67,9,0.0,-9.93,2021,Florida
ORD-10026,West,Consumer,Standard Class,Office Supplies,Art,1119.3,1,0.1,389.87,2021,California
ORD-10027,South,Consumer,Same Day,Furniture,Bookcases,1406.71,3,0.3,420.87,2022,New York
ORD-10028,South,Corporate,Standard Class,Furniture,Furnishings,1574.97,8,0.3,254.06,2021,California
ORD-10029,South,Consumer,Standard Class,Furniture,Tables,338.4,2,0.1,71.52,2022,California
ORD-10030,Central,Home Office,Standard Class,Furniture,Tables,664.29,4,0.3,127.77,2019,Florida
ORD-10031,West,Consumer,First Class,Technology,Copiers,1279.94,6,0.1,211.76,2024,New York
ORD-10032,East,Consumer,Same Day,Technology,Accessories,713.16,1,0.3,143.36,2023,New York
ORD-10033,East,Corporate,Standard Class,Technology,Machines,1298.04,1,0.3,419.53,2024,New York
ORD-10034,Central,Consumer,Same Day,Furniture,Chairs,1858.07,1,0.1,622.44,2025,Illinois
ORD-10035,West,Home Office,Second Class,Furniture,Furnishings,1705.25,3,0.3,115.46,2020,New York
ORD-10036,Central,Corporate,Second Class,Office Supplies,Art,433.66,6,0.2,-16.03,2020,California
ORD-10037,West,Home Office,Second Class,Furniture,Chairs,1410.92,7,0.0,47.17,2019,Illinois
ORD-10038,West,Corporate,Same Day,Office Supplies,Storage,1013.0,4,0.0,-68.96,2021,Florida
ORD-10039,Central,Corporate,Standard Class,Office Supplies,Paper,888.18,6,0.2,97.27,2024,Texas
ORD-10040,South,Consumer,Standard Class,Office Supplies,Paper,515.5,6,0.2,32.01,2023,Florida
ORD-10041,Central,Consumer,Second Class,Furniture,Bookcases,188.99,4,0.1,27.08,2022,Texas
ORD-10042,West,Consumer,Second Class,Office Supplies,Storage,1594.47,3,0.3,374.41,2023,Washington
ORD-10043,East,Home Office,Second Class,Technology,Copiers,1398.03,5,0.0,-30.78,2024,Washington
ORD-10044,South,Home Office,Standard Class,Furniture,Furnishings,1870.54,1,0.3,247.87,2024,Illinois
ORD-10045,East,Corporate,Same Day,Technology,Copiers,510.51,3,0.0,-23.45,2023,California
ORD-10046,West,Consumer,First Class,Office Supplies,Paper,1959.43,5,0.3,-180.81,2022,California
ORD-10047,South,Home Office,Second Class,Office Supplies,Paper,1306.55,6,0.0,390.67,2020,New York
ORD-10048,South,Home Office,Second Class,Office Supplies,Art,1715.85,5,0.0,-45.78,2019,Florida
ORD-10049,East,Consumer,First Class,Technology,Machines,1159.44,2,0.2,219.69,2021,Illinois
ORD-10050,Central,Home Office,Standard Class,Technology,Phones,1923.16,2,0.0,-110.58,2020,Illinois
ORD-10051,South,Corporate,Standard Class,Office Supplies,Paper,66.08,2,0.2,1.77,2020,Illinois
ORD-10052,South,Corporate,Standard Class,Technology,Phones,97.59,9,0.0,32.73,2019,New York
ORD-10053,South,Home Office,Second Class,Furniture,Bookcases,836.98,2,0.0,208.73,2023,Florida
ORD-10054,East,Consumer,Second Class,Furniture,Bookcases,1506.72,9,0.2,-80.75,2022,California
ORD-10055,East,Home Office,Same Day,Office Supplies,Binders,1793.14,1,0.3,-170.57,2019,Florida
ORD-10056,East,Consumer,First Class,Office Supplies,Storage,1902.2,3,0.1,350.63,2022,California
ORD-10057,East,Consumer,Second Class,Technology,Phones,1509.7,7,0.3,385.47,2020,Washington
ORD-10058,West,Home Office,Same Day,Technology,Accessories,894.23,7,0.0,51.79,2019,Texas
ORD-10059,South,Corporate,Standard Class,Office Supplies,Art,1736.4,6,0.2,159.3,2020,New York
ORD-10060,South,Consumer,Standard Class,Office Supplies,Paper,181.07,5,0.1,62.29,2024,Florida
ORD-10061,Central,Home Office,Standard Class,Furniture,Bookcases,1817.23,4,0.3,125.96,2022,Washington
ORD-10062,East,Consumer,Second Class,Technology,Copiers,512.47,3,0.2,48.94,2022,Washington
ORD-10063,East,Corporate,Standard Class,Office Supplies,Art,255.26,9,0.2,60.17,2025,Florida
ORD-10064,South,Consumer,Same Day,Furniture,Chairs,1739.83,6,0.0,580.15,2023,Illinois
ORD-10065,South,Home Office,First Class,Technology,Phones,105.93,5,0.2,33.22,2022,California
ORD-10066,Central,Home Office,Standard Class,Office Supplies,Storage,1266.21,1,0.0,270.48,2021,Florida
ORD-10067,East,Corporate,Same Day,Office Supplies,Art,134.57,6,0.3,-6.99,2022,Texas
